Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
565.0477295,0.005366461352,,,565.0477295,0.001975001534,565.0477295,0.001549213543,565.0477295,0.001471934491,
564.0019531,0.005564243998,,,564.0019531,0.002262128051,564.0019531,0.001617957954,564.0019531,0.001541186241,
562.9558716,0.00562730711,,,562.9558716,0.002183785429,562.9558716,0.001728554023,562.9558716,0.001567087136,
562.059082,0.005871150177,,,562.059082,0.002424842911,562.059082,0.00180907594,562.059082,0.001609175932,
561.0125732,0.005822821986,,,561.0125732,0.00223907386,561.0125732,0.001771880081,561.0125732,0.001477025333,
559.9657593,0.005953598768,,,559.9657593,0.002481307602,559.9657593,0.001840399927,559.9657593,0.001666444237,
559.0682983,0.006008319091,,,559.0682983,0.002440826036,559.0682983,0.001851344365,559.0682983,0.001692092628,
558.0209961,0.006032965612,,,558.0209961,0.002523797564,558.0209961,0.00198704144,558.0209961,0.001676630694,
556.9734497,0.006195944268,,,556.9734497,0.002583061345,556.9734497,0.002372003393,556.9734497,0.001882047392,
555.9256592,0.006346979644,,,555.9256592,0.002902486129,555.9256592,0.002294291509,555.9256592,0.001981892623,
555.0273438,0.006320083048,,,555.0273438,0.002770332154,555.0273438,0.002308083931,555.0273438,0.001913896529,
553.9790039,0.006465328857,,,553.9790039,0.002868427662,553.9790039,0.002275607316,553.9790039,0.00197476754,
552.930481,0.006510680541,,,552.930481,0.00293785031,552.930481,0.002339703962,552.930481,0.001865954604,
552.0314941,0.006657488178,,,552.0314941,0.003064685035,552.0314941,0.002506769728,552.0314941,0.001996325329,
550.9824219,0.00691871671,,,550.9824219,0.003282157239,550.9824219,0.002529577818,550.9824219,0.002176631009,
549.9331665,0.007053691428,,,549.9331665,0.003267942695,549.9331665,0.002559131011,549.9331665,0.002137140371,
549.0335083,0.007217238192,,,549.0335083,0.003512786468,549.0335083,0.002756238449,549.0335083,0.002162452554,
547.9837646,0.007469533477,,,547.9837646,0.003619533032,547.9837646,0.002856076462,547.9837646,0.002311076736,
546.9337158,0.007642878685,,,546.9337158,0.003914566711,546.9337158,0.002905378817,546.9337158,0.002426638966,
546.0334473,0.007885852829,,,546.0334473,0.004148093052,546.0334473,0.00307889306,546.0334473,0.002597644227,
544.9829102,0.008168526925,,,544.9829102,0.004367546644,544.9829102,0.003400091548,544.9829102,0.002599493135,
543.9321289,0.008550218306,,,543.9321289,0.004662591964,543.9321289,0.00346657238,543.9321289,0.00274318736,
